Site,Treatment,Transect,canopy,veg,litter,bareg,fwd,cwd,rock,vght,soil_temp,soil_moist
41,F,1,7.5,31.3,40.0,5.0,2.5,3.8,17.5,0.4,19.39,0.68
42,SL,1,77.6,70.0,3.8,18.8,4.5,2.5,0.5,0.5,22.78,0.60
43,W,1,11.1,16.3,57.5,5.0,2.5,17.5,1.3,0.3,19.17,0.61
44,F,1,7.0,5.8,72.5,3.8,10.5,2.5,5.0,0.1,18.86,0.77
45,F,2,6.9,11.3,75.0,7.5,5.0,0.0,1.3,0.3,18.00,0.82
46,SL,2,84.2,85.0,1.3,2.5,4.5,1.8,5.0,0.6,19.31,0.61
47,W,2,22.6,77.5,11.3,2.5,5.0,0.0,3.8,0.7,17.94,0.77
48,F,2,10.3,11.3,67.5,1.3,6.3,16.3,0.0,0.6,17.69,0.57
49,SL,3,71.4,65.0,1.3,5.0,7.5,8.8,0.0,0.3,18.69,0.94
50,F,3,9.6,33.8,55.0,0.8,3.0,7.5,0.0,0.4,18.11,0.74
51,W,3,7.2,58.8,18.8,5.0,8.8,8.8,0.0,1.0,17.89,0.64
52,F,3,9.5,25.0,57.5,8.8,8.8,0.0,0.0,0.5,18.22,0.59
53,SL,4,88.8,87.0,1.3,2.5,1.8,7.5,0.0,0.7,20.86,0.47
54,F,4,8.6,21.3,58.8,8.8,5.0,0.0,6.3,0.3,18.53,0.37
55,W,4,17.0,20.0,47.5,8.8,7.5,0.0,3.8,0.5,19.36,0.48
56,F,4,10.9,21.3,71.3,1.3,4.5,1.3,0.5,0.3,18.72,0.42
57,SL,5,90.0,82.5,1.3,7.5,4.3,1.3,3.3,0.6,22.03,0.55
58,F,5,8.6,12.5,80.0,1.3,5.0,0.0,1.3,0.4,18.22,0.61
59,W,5,6.8,56.3,32.5,6.3,7.5,0.0,0.0,0.4,19.50,0.57
60,F,5,8.6,28.8,60.0,1.3,5.3,4.8,0.0,0.4,18.94,0.36
61,SL,6,68.4,48.8,22.5,8.8,5.0,8.8,3.8,0.4,19.47,0.48
62,F,6,8.7,22.5,43.8,10.0,22.5,2.5,0.0,0.5,18.28,0.58
64,F,6,8.2,35.0,52.5,5.0,6.3,0.0,1.3,0.3,18.56,0.56
65,W,6,19.1,23.8,45.0,10.0,6.3,16.3,1.3,0.4,19.89,0.51
